year,stages,km,avgpace
1903,6,2428,25.679
1904,6,2428,25.265
1905,11,2994,27.107
1906,13,4637,24.463
1907,14,4488,28.47
1908,14,4488,28.74
1909,14,4497,28.658
1910,15,4734,29.099
1911,15,5343,27.322
1912,15,5289,27.763
1913,15,5287,26.715
1914,15,5380,26.835
1919,15,5560,24.056
1920,15,5503,24.072
1921,15,5485,24.724
1922,15,5375,24.196
1923,15,5386,24.233
1924,15,5425,24.25
1925,18,5440,24.82
1926,17,5745,24.273
1927,24,5398,27.224
1928,22,5476,28.4
1929,22,5286,28.319
1930,21,4822,28.0
1931,24,5091,28.735
1932,21,4479,29.047
1933,23,4395,29.818
1934,23,4470,30.36
1935,21,4338,30.65
1936,21,4442,31.108
1937,20,4415,31.768
1938,21,4694,31.565
1939,18,4224,31.986
1947,21,4642,31.412
1948,21,4922,33.442
1949,21,4808,32.121
1950,22,4773,32.778
1951,24,4690,32.949
1952,23,4898,32.233
1953,22,4476,34.593
1954,23,4656,33.229
1955,22,4495,34.446
1956,22,4498,36.268
1957,22,4669,34.52
1958,24,4319,36.919
1959,22,4358,35.474
1960,21,4173,37.21
1961,21,4397,36.033
1962,22,4274,37.317
1963,21,4138,37.092
1964,22,4504,35.419
1965,22,4188,35.886
1966,22,4329,36.76
1967,22,4779,34.756
1968,22,4492,33.556
1969,22,4117,35.409
1970,23,4254,35.589
1971,20,3608,38.084
1972,20,3846,35.514
1973,20,4090,33.407
1974,22,4098,35.241
1975,22,4000,34.906
1976,22,4017,34.518
1977,22,4096,35.419
1978,22,3908,36.084
1979,24,3765,36.513
1980,22,3842,35.144
1981,22,3753,38.96
1982,21,3507,38.059
1983,22,3809,36.23
1984,23,4021,35.882
1985,22,4109,36.232
1986,23,4094,37.02
1987,25,4231,36.645
1988,22,3286,38.909
1989,21,3285,37.487
1990,21,3504,38.621
1991,22,3914,38.747
1992,21,3983,39.504
1993,20,3714,38.709
1994,21,3978,38.383
1995,20,3635,39.193
1996,21,3765,39.227
1997,21,3950,39.237
1998,21,3875,39.983
1999,20,3870,40.276
2000,21,3662,39.569
2001,20,3458,40.07
2002,20,3278,39.92
2003,20,3427,40.94
2004,20,3391,40.553
2005,21,3593,41.654
2006,20,3657,40.784
2007,20,3570,39.228
2008,21,3559,40.492
2009,21,3460,40.315
2010,20,3642,39.594
2011,21,3630,39.788
2012,20,3497,39.883
2013,21,3404,40.542
2014,21,3659,40.662
2015,21,3354,39.567
2016,21,3525,39.571
2017,21,3540,40.995
